,CustomerID,OrderDate,SalesChannel,LocationID
0,3124,2024-08-31 18:05:02,Online,79
1,685,2024-12-05 16:00:49,Online,13
2,1032,2024-04-08 14:24:30,Catering,93
3,942,2024-12-25 15:33:17,Online,39
4,2826,2024-11-10 09:11:42,Online,55
5,3084,2024-08-26 04:07:20,Online,35
6,948,2024-04-19 07:11:15,In-Store,52
7,56,2024-05-31 08:04:15,Catering,82
8,689,2024-02-14 12:19:46,Online,10
9,2192,2024-06-05 18:29:54,Catering,31
10,997,2024-02-24 03:13:04,Online,34
11,2958,2024-11-27 11:58:18,Online,53
12,771,2024-06-30 05:53:42,Online,5
13,2494,2024-03-26 05:59:54,Online,4
14,2996,2024-04-16 23:11:02,In-Store,64
15,1673,2024-04-28 06:22:12,Catering,66
16,1722,2024-06-02 18:07:55,Online,44
17,675,2024-08-15 20:03:37,Online,4
18,2678,2024-12-24 18:58:04,In-Store,1
19,3009,2024-02-18 23:12:53,Online,55
20,1885,2024-06-30 07:52:45,In-Store,51
21,1335,2024-01-31 21:30:12,Online,15
22,2756,2024-04-16 11:48:45,Catering,70
23,2253,2024-04-11 14:19:01,Online,75
24,507,2024-08-17 23:54:21,Online,24
25,1218,2024-06-27 10:10:26,Catering,83
26,2764,2024-04-27 13:59:21,Catering,68
27,197,2024-09-07 20:08:14,In-Store,2
28,2488,2024-07-28 07:58:01,Catering,66
29,2147,2024-09-30 03:21:03,Online,54
30,121,2024-05-02 21:07:42,Catering,65
31,2877,2024-04-25 06:46:29,In-Store,77
32,2772,2024-11-22 12:04:29,Online,21
33,1262,2024-08-23 11:57:44,Online,7
34,9,2024-11-14 15:55:05,Online,58
35,1734,2024-06-15 22:45:36,In-Store,20
36,503,2024-02-25 19:27:57,In-Store,59
37,648,2024-11-17 09:58:26,Online,54
38,2115,2024-06-19 16:23:08,In-Store,35
39,703,2024-06-27 11:10:32,Online,43
40,1581,2024-06-04 08:51:46,In-Store,7
41,2114,2024-10-30 09:27:42,Online,71
42,2176,2024-02-09 11:50:05,Online,55
43,180,2024-09-19 11:09:11,Online,90
44,2578,2024-07-01 15:33:29,Catering,14
45,2503,2024-04-27 02:22:07,Online,62
46,2745,2024-06-21 08:38:58,In-Store,62
47,2115,2024-09-11 18:54:25,Online,10
48,22,2024-09-03 13:49:35,Catering,32
49,607,2024-09-01 00:24:41,Online,15
50,428,2024-04-16 05:29:55,In-Store,2
51,996,2024-07-16 03:42:58,Online,9
52,1944,2024-02-29 23:07:45,Online,94
53,240,2024-06-12 07:47:30,In-Store,4
54,378,2024-08-19 22:10:55,Online,30
55,44,2024-11-21 16:26:01,Online,9
56,1248,2024-09-08 19:09:39,Online,94
57,60,2024-11-22 03:12:44,Online,66
58,894,2024-08-06 11:28:23,Catering,54
59,2169,2024-09-08 07:47:35,Catering,64
60,925,2024-06-03 15:10:50,Online,74
61,908,2024-05-13 10:37:13,In-Store,17
62,488,2024-05-11 23:27:27,In-Store,37
63,1671,2024-02-14 00:48:30,Catering,52
64,724,2024-07-08 03:53:20,In-Store,81
