,OrderID,ProductID,Quantity
0,5297,231,3
1,8718,45,19
2,13045,145,2
3,14407,146,20
4,15476,189,4
5,194,243,3
6,15441,116,3
7,14096,202,5
8,8207,141,5
9,3989,165,9
10,640,243,9
11,8127,64,6
12,3799,149,5
13,13374,107,2
14,12308,51,3
15,3894,41,2
16,7729,172,6
17,15129,88,20
18,14747,48,17
19,10166,54,6
20,4183,158,4
21,13989,215,8
22,5060,246,9
23,14114,173,7
24,5884,148,4
25,2545,174,2
26,12549,209,26
27,8109,178,9
28,10891,132,16
29,13797,59,7
30,14982,151,7
31,5355,246,4
32,8647,251,1
33,823,154,3
34,954,39,1
35,4291,53,9
36,11772,226,6
37,13427,183,1
38,10829,74,6
39,14954,47,4
40,1457,180,7
41,1143,125,1
42,14023,114,5
43,4869,255,22
44,1343,5,5
45,8658,124,7
46,14732,73,32
47,14020,183,6
48,14057,109,29
49,15691,183,2
50,7178,245,1
51,15552,182,19
52,4003,199,2
53,13241,179,5
54,3080,186,3
55,13716,91,8
56,12311,1,1
57,6387,64,24
58,4637,102,8
59,7417,169,8
60,3967,152,5
61,6724,235,8
62,7366,30,1
63,10215,33,3
64,15165,256,1
65,6702,94,9
66,2704,64,5
67,11960,166,21
68,14253,243,4
69,1962,59,7
70,5490,151,3
71,2120,180,3
72,14061,57,7
73,1985,165,9
74,9455,174,9
75,9793,106,2
76,12028,87,6
77,838,240,5
78,1617,230,6
79,13579,158,3
80,14553,54,2
81,6685,72,3
82,8320,220,6
83,410,14,6
84,3765,181,1
85,3508,62,5
86,5789,202,6
87,14727,247,18
88,15330,65,1
89,5653,52,8
90,3844,137,6
91,6060,125,7
92,7179,246,2
93,4423,186,8
94,8877,13,3
95,675,237,9
96,10348,69,1
97,626,176,6
98,5662,158,4
99,3951,214,5
100,6620,180,2
101,11229,68,1
102,12569,150,4
103,11555,144,31
104,12809,150,7
105,15682,216,1
106,5863,137,1
107,3934,190,8
108,4107,53,6
109,1537,254,9
110,11386,211,3
111,6630,162,4
112,5077,25,7
113,6166,139,8
114,13697,12,8
115,5406,131,7
116,12099,124,7
117,2216,129,25
118,11288,222,8
119,7658,71,38
120,7282,156,7
121,647,173,6
122,8341,129,4
123,6993,8,3
124,4348,122,2
125,5386,109,7
126,8680,94,1
127,1687,68,4
128,5366,212,2
129,12126,75,3
130,14636,96,3
131,533,62,9
132,4950,178,2
133,8041,87,1
134,7126,68,6
135,4861,71,7
136,3600,36,3
137,1945,45,4
138,15322,235,6
139,10648,159,7
140,4202,64,2
141,640,74,3
142,14793,22,3
143,4353,80,8
144,9431,194,25
145,12188,63,9
146,1163,117,7
147,11052,103,8
148,12769,13,4
149,1480,66,6
150,3052,186,8
151,6976,70,4
152,3956,132,6
153,1278,254,5
154,12568,210,2
155,10714,157,1
156,4421,75,7
157,743,250,9
158,2639,204,2
159,14770,31,6
160,9166,195,8
161,7527,210,21
162,4056,155,4
163,2477,130,34
164,6873,110,6
165,1281,28,3
166,8285,256,9
167,13087,200,9
168,9361,160,6
169,2797,25,2
170,9275,132,3
171,7177,220,6
172,4460,227,6
173,15131,135,5
174,6322,22,9
175,2924,109,2
176,1887,198,3
177,1135,251,3
178,6624,124,2
179,2111,237,7
180,8984,101,3
181,12054,159,22
182,4125,252,4
183,5902,208,6
184,13389,17,1
185,3083,1,17
186,15671,106,1
187,2100,192,9
188,12670,65,2
189,9226,129,1
190,3315,40,15
191,6896,58,9
